,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,label
0,18,35,18,43,19,52,19,59,22,67,27,73,34,79,41,85,48,87,57,86,64,81,71,75,77,68,80,60,82,52,83,43,84,35,23,30,27,28,33,27,39,28,44,31,56,31,62,28,68,27,75,28,79,32,51,36,51,42,51,49,51,55,43,56,47,58,51,60,54,58,58,56,29,35,33,34,38,34,41,37,37,37,33,37,59,37,63,34,67,34,71,35,67,37,63,37,3
1,20,36,20,45,22,53,23,61,26,69,30,76,36,81,42,86,50,87,58,86,66,82,72,77,78,70,81,62,83,54,85,46,85,37,23,27,28,24,33,23,39,24,44,27,56,27,62,24,68,23,74,23,79,27,50,34,50,41,50,47,49,54,44,57,47,59,50,60,53,59,56,57,29,35,33,33,38,33,41,36,37,37,33,38,59,36,63,33,68,33,71,35,68,37,63,37,0
2,18,32,18,42,19,51,20,61,23,70,28,79,34,88,41,95,50,97,60,96,68,90,74,81,80,73,84,63,84,54,85,44,85,34,25,31,28,27,34,26,40,27,45,30,55,30,61,27,67,24,74,25,78,30,51,35,50,42,50,49,50,56,42,56,46,58,50,60,55,58,58,56,31,36,34,34,38,34,42,36,38,37,34,37,59,36,63,33,67,33,70,35,67,36,63,36,3
3,16,38,16,47,17,56,19,65,21,73,26,79,33,84,41,87,51,87,61,86,69,83,77,79,82,73,85,66,87,57,87,48,88,39,22,29,25,23,30,20,37,20,43,23,56,23,62,21,69,21,75,24,79,29,49,32,49,35,49,39,49,42,42,50,46,50,49,51,53,50,57,50,29,36,33,33,37,33,41,35,37,37,32,37,59,35,63,33,67,34,71,36,67,37,63,37,0
4,20,35,20,43,21,51,22,59,24,68,28,75,33,82,39,87,47,89,56,88,64,84,72,79,79,73,83,65,84,57,86,48,86,40,23,28,27,23,32,21,38,22,43,25,57,25,63,22,70,22,75,24,79,30,50,34,49,41,48,48,48,54,41,57,45,58,49,60,53,58,56,57,30,35,33,33,38,34,42,37,37,37,33,37,59,37,64,34,68,33,72,36,68,37,64,37,3
5,12,34,13,43,15,52,17,61,20,69,26,76,34,82,42,86,51,87,59,86,66,82,73,76,78,69,81,61,82,52,84,43,84,35,20,29,26,25,32,24,39,25,45,27,56,27,62,24,69,23,75,25,80,29,52,34,52,39,53,44,53,50,46,54,49,56,52,57,55,56,58,54,29,35,33,33,38,33,42,36,37,38,32,38,58,36,62,33,68,33,71,36,68,38,63,38,0
6,19,37,19,45,19,53,20,62,22,70,27,77,33,84,40,89,48,91,58,91,66,86,74,81,81,74,85,66,86,57,87,48,87,40,24,30,26,25,32,22,38,22,44,25,56,26,61,24,68,24,74,26,78,31,50,33,49,36,49,40,49,44,41,49,45,50,49,51,53,50,57,50,31,36,34,34,38,34,42,36,38,36,34,36,59,36,63,34,67,35,70,36,66,36,63,36,3
7,18,39,18,48,20,56,21,64,23,72,27,79,33,86,41,90,50,92,59,91,67,87,73,81,78,74,81,65,82,57,83,49,83,41,24,34,27,30,33,27,39,26,45,28,55,28,61,26,67,26,73,29,77,33,50,34,50,39,50,44,50,49,44,54,47,55,50,56,53,55,56,54,30,36,33,34,37,33,41,36,37,37,33,37,58,36,62,33,66,33,70,36,66,36,62,36,0
8,16,40,17,49,18,58,19,67,22,75,27,81,34,87,42,91,51,93,60,91,69,87,75,80,79,73,82,65,83,57,84,47,84,39,21,30,24,24,30,21,37,21,44,24,56,24,63,20,69,20,75,22,79,28,51,32,51,37,52,42,52,47,45,54,48,55,52,55,55,55,58,54,29,36,33,33,37,33,41,36,37,37,32,37,59,36,63,33,68,32,72,35,68,37,63,37,3
9,17,37,18,45,20,54,22,63,25,71,29,78,35,85,42,90,50,91,58,90,65,85,72,79,77,73,81,65,83,57,84,48,85,40,22,29,26,24,32,22,39,23,45,26,56,27,63,24,69,23,76,25,80,30,51,34,50,40,50,46,50,53,44,57,47,58,50,59,53,58,56,56,30,35,33,33,38,33,42,36,38,37,33,37,60,36,63,33,68,33,71,35,68,37,64,37,0
10,22,38,21,46,21,55,23,63,26,71,30,78,35,84,41,89,50,90,58,89,66,84,73,78,78,71,82,63,84,54,84,46,84,38,25,27,29,24,35,24,40,24,44,26,56,27,62,24,68,24,74,25,78,29,51,34,51,41,51,47,51,54,44,57,48,59,51,60,55,58,58,57,30,35,34,33,38,33,42,36,38,38,33,38,59,37,63,33,67,33,71,35,68,37,63,38,0
11,16,38,16,47,17,55,19,64,22,72,27,78,34,82,41,86,50,87,58,86,67,83,74,78,79,71,83,64,84,55,85,47,85,38,22,32,26,27,32,25,39,25,45,28,55,28,62,25,68,25,75,27,79,31,51,34,51,39,52,44,52,49,44,54,48,54,52,56,55,55,59,54,29,36,33,34,37,34,41,36,37,37,33,37,60,36,64,34,68,34,72,36,68,37,64,37,0
12,20,36,20,45,21,53,22,62,25,70,30,78,36,85,42,92,50,94,58,92,66,87,73,80,80,73,84,64,85,56,86,46,86,38,23,28,27,25,33,24,38,25,44,28,55,28,61,25,68,24,74,24,79,28,49,35,49,40,49,46,48,51,42,55,45,56,49,57,53,56,57,55,30,35,33,33,38,33,42,37,37,37,33,37,58,37,63,34,67,33,71,36,67,37,63,37,3
13,17,38,18,47,20,55,22,64,26,71,32,78,38,84,46,89,54,90,62,88,68,82,73,75,77,68,79,60,80,52,81,44,81,36,22,30,27,26,33,24,40,25,46,27,55,28,61,25,68,24,74,25,78,29,51,35,52,41,53,47,53,53,46,57,49,59,53,60,56,58,59,57,30,36,33,33,38,33,42,36,38,37,33,38,59,36,63,33,68,33,71,35,68,37,63,37,0
14,17,40,16,48,16,55,18,64,21,72,26,78,33,85,40,91,49,95,59,94,68,89,76,83,83,75,87,67,89,58,89,49,89,40,24,29,28,25,34,24,41,24,46,27,56,28,62,25,69,24,76,25,81,30,51,35,50,42,50,48,50,55,41,57,45,59,50,61,55,59,60,58,30,36,33,35,38,35,42,37,37,37,33,37,61,37,65,35,69,35,73,37,69,38,65,38,3
15,15,36,15,46,16,55,17,64,20,72,26,79,33,86,41,92,50,94,60,92,69,86,76,79,82,71,85,63,87,53,87,44,87,35,22,33,25,27,31,24,38,25,45,28,54,29,61,26,68,24,75,26,79,32,51,35,51,42,52,50,53,57,44,58,47,60,52,62,56,60,60,58,30,36,33,34,37,34,41,36,37,37,33,37,59,36,63,34,67,34,71,36,67,37,63,37,3
16,19,37,19,46,20,54,21,62,24,70,28,76,33,82,40,86,49,87,57,86,66,83,73,78,79,71,82,63,84,55,85,47,86,39,22,25,26,22,33,21,39,22,44,26,57,26,63,23,70,22,76,23,80,27,50,33,50,38,50,44,50,49,44,54,47,55,50,56,53,55,56,54,29,35,33,32,38,32,42,36,37,38,32,38,59,36,63,33,68,32,72,35,69,38,64,38,0
17,20,36,20,45,20,53,22,61,25,69,30,76,35,82,42,87,50,88,58,87,66,81,72,74,78,67,81,58,83,50,84,41,84,34,25,27,30,25,35,26,39,27,44,29,56,30,61,27,67,26,73,26,78,28,51,36,51,43,51,50,51,58,44,59,48,60,51,62,55,60,58,59,31,36,34,34,39,34,42,37,38,38,34,38,59,37,63,34,67,34,71,35,67,38,63,38,3
18,17,40,18,49,19,58,21,68,24,77,29,85,35,92,42,99,50,101,59,99,67,92,74,84,80,75,83,66,85,57,86,48,87,39,21,31,25,25,31,22,38,22,45,25,55,26,62,23,69,23,76,25,80,31,50,33,50,38,50,43,49,48,43,53,46,54,50,56,54,54,58,52,29,36,33,34,37,34,41,36,37,36,33,36,59,36,63,34,67,34,71,36,67,37,63,37,3
19,16,43,17,52,18,60,19,69,22,76,26,83,33,88,41,91,51,92,60,91,68,87,74,82,78,76,81,68,82,60,83,52,83,43,22,30,25,24,31,20,38,20,44,23,57,23,63,20,70,20,76,23,79,29,51,32,52,35,52,39,52,44,45,52,49,52,52,53,55,53,57,53,30,36,33,34,38,33,42,35,38,37,33,37,59,35,63,33,68,33,71,36,68,37,63,37,0
20,21,27,21,37,22,46,24,55,27,64,32,72,37,80,44,87,53,89,62,88,71,82,79,74,86,65,91,55,93,45,93,35,93,25,23,27,26,24,32,24,37,25,42,28,50,27,58,24,66,23,73,24,81,27,46,33,46,40,45,47,44,54,38,54,42,57,46,58,52,57,57,55,29,31,32,30,37,30,41,32,36,33,32,33,57,32,62,30,66,29,71,30,67,32,62,33,3
21,18,35,19,44,20,52,22,61,25,69,30,77,36,83,43,89,51,90,60,88,67,83,74,76,78,69,81,61,83,52,84,44,84,36,22,28,27,25,33,25,39,26,45,29,56,29,62,26,68,24,74,24,79,28,51,35,51,41,50,47,50,52,44,57,47,58,50,59,53,58,56,57,30,36,33,33,38,33,42,37,38,38,33,38,58,37,62,33,67,33,71,36,68,38,63,38,0
22,17,32,18,42,20,50,22,59,26,66,30,74,36,81,44,87,51,89,59,87,65,80,70,73,74,65,76,57,77,49,78,41,78,33,22,32,26,28,33,26,40,28,46,31,55,31,60,29,67,27,72,28,77,32,51,36,51,43,51,51,52,58,43,57,47,59,52,61,56,59,59,57,29,35,33,34,37,34,41,36,37,36,33,36,59,36,63,34,66,34,70,35,66,36,63,36,3
23,23,36,22,43,22,51,23,60,25,68,29,75,34,82,39,89,47,92,57,90,67,86,76,80,84,73,88,64,90,55,92,46,93,37,23,28,26,24,31,23,37,24,42,28,56,27,63,23,71,22,78,24,83,30,48,35,47,41,46,48,45,54,40,56,43,58,47,60,51,58,56,57,29,36,33,33,38,34,42,37,37,38,32,37,59,37,63,33,68,33,73,35,69,37,64,37,3
24,15,39,15,49,16,58,18,67,21,76,27,83,34,89,43,93,52,94,62,93,70,88,77,82,83,75,87,66,88,57,88,48,87,39,21,34,25,27,31,24,39,24,46,26,54,27,61,24,69,24,76,26,80,32,51,34,52,40,53,47,54,54,45,57,49,58,53,59,57,58,60,57,30,36,34,34,38,33,42,35,38,37,34,37,60,35,64,33,68,34,72,36,68,37,64,36,0
25,16,41,17,49,19,58,20,66,23,73,27,80,34,85,41,89,49,90,59,89,66,85,73,80,78,74,82,66,83,58,84,49,84,41,22,30,26,25,32,22,38,23,44,26,54,26,60,23,66,22,72,24,77,29,49,33,49,39,49,44,49,50,42,56,46,57,49,57,52,57,55,56,29,36,32,32,37,32,40,36,37,37,32,37,57,36,61,32,66,32,69,35,66,36,61,36,0
26,21,35,20,44,21,53,22,62,26,70,29,79,34,86,39,91,46,93,54,92,62,88,68,82,74,74,79,65,81,56,83,47,85,38,26,29,29,25,34,24,40,25,44,29,58,29,63,26,69,24,75,26,78,30,51,35,50,41,49,47,49,53,42,54,45,56,49,58,53,57,57,55,30,36,34,34,38,34,41,37,38,37,33,37,60,36,64,34,68,33,72,35,68,36,64,36,3
27,20,33,20,42,21,50,23,58,26,66,30,73,35,79,41,85,49,87,58,86,66,82,72,76,78,68,81,61,83,52,84,43,84,34,24,28,28,24,33,23,39,24,44,27,54,27,60,24,66,23,72,23,77,27,50,34,50,41,50,48,49,54,42,57,46,58,50,60,54,58,57,57,29,35,33,33,37,33,41,36,37,37,32,37,59,36,63,33,68,33,71,35,68,37,64,37,0
28,21,36,20,44,20,52,21,61,23,69,27,76,34,82,41,87,49,89,58,88,66,83,73,77,79,70,82,62,84,53,85,44,85,36,24,27,28,24,34,24,39,26,45,29,56,29,62,26,68,24,74,25,79,28,50,35,51,41,51,46,51,52,44,57,47,58,50,59,54,58,56,57,30,35,34,33,38,33,42,36,38,38,33,37,59,37,63,34,67,33,71,35,68,38,63,38,0
29,24,35,24,44,26,53,29,61,32,69,35,76,39,82,44,88,50,90,58,89,66,85,73,79,80,72,84,64,87,55,89,44,90,34,25,26,28,22,32,21,37,22,42,24,54,24,60,20,67,19,73,21,78,25,48,35,48,42,47,50,46,57,42,59,45,61,48,63,51,61,55,60,30,35,33,33,38,34,42,37,38,38,33,38,59,37,63,33,67,33,71,35,68,37,63,38,3
30,18,33,18,42,20,51,22,59,24,67,29,74,36,80,43,85,51,86,60,85,67,80,73,73,78,66,80,58,82,50,83,41,83,33,22,28,27,25,33,25,38,26,44,29,56,29,61,26,67,24,73,24,78,27,50,35,50,42,50,48,50,55,44,57,47,58,51,59,54,58,57,57,30,35,33,33,38,33,41,36,37,37,33,37,59,37,62,33,67,32,70,35,67,37,63,37,0
